"Torino",2009,"Fondazione Officina Informatica Libera"
"Torino",2008,"Primo Linux Day organizzato dal Comitato Linux Day Torino"
"Fabriano",2003,"PDP Free Software User Group"
"Fabriano",2009,"Prima edizione del Vademecum del Software Libero"
"Fabriano",2010,"Prima edizione del Dossier Scuola"
"Brescia",1998,"Formazione del LUGBS"
"Brescia",1999,"Primo Linux Day"
"Empoli",2000,"Nascita del gruppo informale GOLEM"
"Empoli",2004,"Nascita dell’associazione GOLEM"
"Cagliari",1996,"Fondazione dell’associazione GULCh"
"Orvieto",2005,"Fondazione OrvietoLUG"
"Orvieto",2009,"Open Office Conference 2009"
"Belluno",2003,"Fondazione LugAnegA"
"Schio",2009,"Fondazione Avi LUG"
"Trento",1999,"Fondazione dell’associazione LinuxTrent"
"Bolzano",2001,"Fondazione associazione LUB-BZ"
"Bolzano",2012,"Prima edizione SFSCon"
"San Donà di Piave",2005,"Prima edizione End Summer Camp"
"San Donà di Piave",2012,"Fondazione del Crunchlab"
